notebook,class,auc
NB3_PlantVillage_Hybrid,0,0.9999637927132836
NB3_PlantVillage_Hybrid,1,0.9992803801765104
NB3_PlantVillage_Hybrid,2,0.9997028820441716
NB3_PlantVillage_Hybrid,3,0.9999840584099858
NB3_PlantVillage_Hybrid,4,0.9999952783789101
NB3_PlantVillage_Hybrid,5,0.9999379136503048
NB3_PlantVillage_Hybrid,6,0.9992690653994116
NB3_PlantVillage_Hybrid,7,0.9989270426193557
NB3_PlantVillage_Hybrid,8,0.9992445752689572
NB3_PlantVillage_Hybrid,9,0.9994686362549483
NB3_PlantVillage_Hybrid,10,0.9996121045699105
NB3_PlantVillage_Hybrid,11,0.9989175989175989
NB3_PlantVillage_Hybrid,12,0.9999674589744973
NB3_PlantVillage_Hybrid,13,1.0
NB3_PlantVillage_Hybrid,14,1.0
NB3_PlantVillage_Hybrid,micro,0.9997403665335094
NB3_PlantVillage_Hybrid,macro,0.9996349739172414
