experiment_family,experiment,dataset,classes,augmentation_or_condition,accuracy_pct,precision_pct,recall_pct,f1_pct,specificity_pct,micro_auc,macro_auc,parameters,cv_mean_pct,cv_std_pct,notes
Dataset-specific,NB1 Wheat Hybrid,Wheat,3,Dataset-specific,97.81,97.82,97.81,97.81,98.54,,,,,,Recorded result; zero test support for Wheat Healthy limits interpretation
Dataset-specific,NB2 Cotton Hybrid,Cotton,6,Dataset-specific,53.55,53.01,53.55,51.66,90.71,,,,,,Recorded result; substantial class confusion
Dataset-specific,NB3 PlantVillage Hybrid,PlantVillage subset,15,Dataset-specific,97.67,97.68,97.67,97.68,99.83,,,,,,Recorded controlled-data run
Architectural ablation,NB4 Standard Inception + GAP,24-class combined,24,LightAug,95.33,95.34,95.33,95.32,99.80,,,,,,Branch concatenation; no proposed skip
Architectural ablation,NB5 Residual CNN + GAP,24-class combined,24,LightAug,96.04,96.03,96.04,96.02,99.83,,,,,,Residual addition; no Inception cells
Architectural ablation,NB6 Inception(Add)-only + GAP,24-class combined,24,LightAug,95.84,95.84,95.84,95.82,99.82,,,,,,Proposed Inception fusion; no skip blocks
Architectural ablation,NB7 SkipConcat-only + GAP,24-class combined,24,LightAug,95.67,95.70,95.67,95.67,99.81,,,,,,Proposed skip fusion; no Inception cells
Architectural ablation,PlantDiseaseNet-Hybrid,24-class combined,24,LightAug,95.91,95.98,95.91,95.91,99.82,0.9996,0.9990,934200,,,Principal complete-hybrid benchmark
Augmentation study,Hybrid-CropColour,24-class combined,24,Crop + Colour,96.31,,,96.31,99.84,,0.9991,,,,Same architecture and dataset; augmentation sensitivity
Augmentation study,Hybrid-LightAug,24-class combined,24,Flip + Brightness,97.06,97.07,97.06,97.06,99.87,,0.9992,934200,,,Best recorded augmentation-policy result
Augmentation study,Hybrid-NoAug,24-class combined,24,None,96.03,,,96.04,99.82,,0.9988,,,,Same architecture and dataset
Augmentation study,Hybrid-LightAug-v2,24-class combined,24,Flip + Brightness,96.43,,,96.42,99.85,,0.9990,,,,Independent repeat of LightAug
Augmentation study,Hybrid-FullAug,24-class combined,24,All transforms,95.91,,,95.91,99.82,,0.9990,,,,Broad augmentation policy
Soybean,EXP-1 Soy-Baseline-NoAug,Indian Soybean,6,NoAug,100.00,100.00,100.00,100.00,100.00,,,,,,Single split; unstable because of tiny Root test support
Soybean,EXP-2 Soy-HeavyAug-LR1e3,Indian Soybean,6,Heavy augmentation; LR 1e-3,100.00,100.00,100.00,100.00,100.00,,,,,,Single split; unstable because of tiny Root test support
Soybean,EXP-3 Soy-LightAug-LR1e3,Indian Soybean,6,Light augmentation; LR 1e-3,85.88,90.50,85.90,85.70,96.90,,,,,,Recorded experiment
Soybean,EXP-4 Soy-HeavyAug-LR3e4,Indian Soybean,6,Heavy augmentation; LR 3e-4,99.44,99.50,99.40,99.40,99.90,,,99.57,0.85,Five-fold CV; principal soybean generalisation estimate
