experiment_id,paper_section,dataset,classes,architecture,augmentation,accuracy_percent,precision_percent,recall_percent,f1_percent,specificity_percent,auc_roc,verification,source
NB1,Primary dataset evaluation,Wheat Disease,3,PlantDiseaseNet-Hybrid (Inception Add + Skip Concat),No augmentation,97.81,,,,,,Executed notebook output,Notebooks/Notebooks_initial_no aug/NB1_wheat-disease-hybrid-architecture.ipynb
NB2,Primary dataset evaluation,Cotton Disease,6,PlantDiseaseNet-Hybrid (Inception Add + Skip Concat),No augmentation,53.55,,,,,,Executed notebook output,Notebooks/Notebooks_initial_no aug/NB2_cotton-disease-hybrid-architecture.ipynb
NB3,Primary dataset evaluation,PlantVillage,15,PlantDiseaseNet-Hybrid (Inception Add + Skip Concat),No augmentation,97.67,,,,,,Executed notebook output,Notebooks/Notebooks_initial_no aug/NB3_plantvillage-hybrid-architecture.ipynb
Primary combined,Primary combined-dataset evaluation,Combined multi-crop dataset,24,PlantDiseaseNet-Hybrid (Inception Add + Skip Concat),No augmentation,95.91,,,,,,Executed notebook output,Notebooks/Notebooks_initial_no aug/original-custom-hybrid.ipynb
NB4,Architecture ablation,Combined multi-crop dataset,24,Standard InceptionNet,No augmentation,95.33,,,,,,Executed notebook/log output,Notebooks/Notebooks_initial_no aug/NB4_combined-dataset-standard-inceptionnet.ipynb
NB5,Architecture ablation,Combined multi-crop dataset,24,ResNet-style residual architecture,No augmentation,96.04,,,,,,Executed notebook/log output,Notebooks/Notebooks_initial_no aug/NB5_combined-dataset-resnet-style.ipynb
NB6,Architecture ablation,Combined multi-crop dataset,24,Inception with Add fusion,No augmentation,95.84,,,,,,Executed notebook output,Notebooks/Notebooks_initial_no aug/NB6_combined-dataset-inception-add.ipynb
NB7,Architecture ablation,Combined multi-crop dataset,24,Skip-connection concatenation network,No augmentation,95.67,,,,,,Executed notebook output,Notebooks/Notebooks_initial_no aug/NB7_combined-dataset-skip-concat.ipynb
Soy-1,Soybean study,Soybean disease,,Soybean experiment notebook,Not established from verified final metric output,100.0,,,,,,Executed notebook output,Notebooks/soydisease/soydisease1.ipynb
Soy-2,Soybean study,Soybean disease,,Soybean experiment notebook,Not established from verified final metric output,100.0,,,,,,Executed notebook output,Notebooks/soydisease/soydisease2.ipynb
